epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5016.18,0.28986,0.26843,0.79586,0.99881,0.99608,0.99499,0.98434,0.20777,0.14397,0.77453,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,5166.73,0.28854,0.2666,0.79555,0.99878,0.9957,0.99491,0.98414,0.20574,0.14329,0.77406,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,5317.11,0.28417,0.26219,0.79453,0.9989,0.99576,0.99498,0.98478,0.20455,0.14094,0.77376,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,5467.41,0.28096,0.26105,0.79345,0.99909,0.99546,0.99496,0.9847,0.20321,0.14057,0.77363,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,5618.04,0.27726,0.25698,0.79385,0.99856,0.99626,0.995,0.98572,0.20099,0.13851,0.77301,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,5768.22,0.27506,0.25412,0.79225,0.99911,0.99591,0.995,0.9858,0.20025,0.13728,0.77288,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,5933.6,0.27086,0.25008,0.79184,0.99922,0.99588,0.995,0.98615,0.19942,0.13719,0.77269,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,6095.95,0.26883,0.24927,0.79198,0.99926,0.99595,0.995,0.98597,0.19645,0.13555,0.77217,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,6253.28,0.26572,0.24393,0.79063,0.99912,0.99597,0.995,0.98616,0.19679,0.13491,0.77209,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,6432.43,0.23997,0.18602,0.78282,0.99917,0.9961,0.995,0.98642,0.19544,0.13347,0.77181,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,6585.97,0.23548,0.18284,0.78131,0.99887,0.99617,0.995,0.98677,0.19276,0.13262,0.77153,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,6739.34,0.23126,0.17913,0.78061,0.9989,0.99642,0.995,0.98713,0.1915,0.13097,0.77114,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,6891.83,0.22748,0.1754,0.77915,0.9992,0.99606,0.995,0.98714,0.19044,0.13,0.77109,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,7044.56,0.22443,0.1723,0.77903,0.9989,0.99602,0.995,0.98732,0.18899,0.12864,0.77073,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,7196.98,0.21909,0.1681,0.77772,0.999,0.99594,0.995,0.98748,0.18881,0.12817,0.77056,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,7349.14,0.21641,0.16409,0.77746,0.99861,0.99656,0.995,0.98749,0.1883,0.12722,0.7704,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,7501.95,0.21305,0.16207,0.77673,0.99901,0.99595,0.995,0.98767,0.18669,0.12626,0.77009,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,7655.61,0.21003,0.1594,0.77544,0.99907,0.99609,0.995,0.98774,0.18649,0.12593,0.76998,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,7809.75,0.20636,0.15613,0.77485,0.99892,0.99644,0.995,0.98792,0.186,0.1251,0.76981,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
